Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	-998311.65	0.00	419375.09
1	-518956.50	0.00	375378.22
2	-430418.40	0.00	99561.71
3	-370856.40	0.00	155793.73
4	-265674.40	-0.00	188485.68
5	-84788.20	-0.00	115546.84
6	0.00	-0.00	0.00
7	0.00	-0.00	0.00
8	0.00	-0.00	0.00
9	0.00	-0.00	0.00
10	0.00	-0.00	0.00
11	0.00	-0.00	0.00
12	0.00	-0.00	0.00
13	0.00	-0.00	0.00
14	0.00	-0.00	0.00
15	0.00	-0.00	0.00
16	0.00	-0.00	0.00
17	0.00	-0.00	0.00
18	0.00	-0.00	0.00
19	0.00	-0.00	0.00
20	0.00	-0.00	0.00
21	0.00	-0.00	0.00
22	0.00	-0.00	0.00
23	0.00	-0.00	0.00
24	0.00	-0.00	0.00
25	0.00	-0.00	0.00
26	0.00	-0.00	0.00
27	0.00	-0.00	0.00
28	0.00	-0.00	0.00
29	0.00	-0.00	0.00
30	0.00	-0.00	0.00
31	0.00	-0.00	0.00
32	0.00	-0.00	0.00
33	0.00	-0.00	0.00
34	0.00	-0.00	0.00
35	0.00	-0.00	0.00
36	0.00	-0.00	0.00
37	0.00	-0.00	0.00
38	0.00	-0.00	0.00
39	0.00	-0.00	0.00
40	0.00	-0.00	0.00
41	0.00	-0.00	0.00
42	0.00	-0.00	0.00
43	0.00	-0.00	0.00
44	0.00	-0.00	0.00
45	0.00	-0.00	0.00
46	0.00	-0.00	0.00
47	0.00	-0.00	0.00
48	0.00	-0.00	0.00
49	0.00	-0.00	0.00
