Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	1.91	1.94	0.03
1	1.91	1.94	0.02
2	1.83	1.94	0.16
3	1.62	1.94	0.25
4	1.68	1.94	0.19
5	1.57	1.92	0.23
6	1.76	1.92	0.22
7	1.91	1.92	0.02
8	1.88	1.92	0.10
9	1.89	1.92	0.10
10	1.73	1.92	0.23
11	1.86	1.92	0.18
12	1.73	1.92	0.28
13	1.73	1.92	0.28
14	1.79	1.92	0.25
15	1.86	1.92	0.19
16	1.86	1.92	0.19
17	1.92	1.92	0.00
18	1.75	1.92	0.27
19	1.71	1.92	0.27
20	1.67	1.92	0.32
21	1.85	1.92	0.23
22	1.92	1.92	0.00
23	1.68	1.92	0.29
24	1.74	1.92	0.27
25	1.74	1.92	0.27
26	1.80	1.92	0.24
27	1.68	1.92	0.29
28	1.74	1.92	0.27
29	1.69	1.92	0.29
30	1.75	1.92	0.27
31	1.75	1.92	0.27
32	1.92	1.92	0.00
33	1.86	1.92	0.13
34	1.79	1.92	0.16
35	1.76	1.92	0.17
36	1.60	1.92	0.19
37	1.49	1.92	0.19
38	1.51	1.59	0.12
39	1.49	1.59	0.12
40	1.46	1.59	0.13
41	1.46	1.59	0.13
42	1.49	1.59	0.12
43	1.38	1.59	0.10
44	1.38	1.59	0.10
45	1.36	1.59	0.08
46	1.32	1.59	0.12
47	1.33	1.59	0.18
48	1.43	1.59	0.20
49	1.31	1.59	0.19
50	1.31	1.59	0.19
51	1.40	1.59	0.20
52	1.45	1.59	0.18
53	1.52	1.59	0.15
54	1.51	1.59	0.12
55	1.56	1.59	0.08
56	1.46	1.59	0.13
57	1.43	1.59	0.13
58	1.39	1.59	0.14
59	1.41	1.59	0.15
60	1.43	1.59	0.13
61	1.51	1.59	0.12
62	1.43	1.59	0.13
63	1.41	1.59	0.12
64	1.43	1.59	0.13
65	1.41	1.59	0.12
66	1.43	1.59	0.13
67	1.48	1.59	0.13
68	1.51	1.59	0.12
69	1.43	1.59	0.13
70	1.51	1.59	0.12
71	1.51	1.59	0.12
72	1.47	1.59	0.18
73	1.52	1.59	0.15
74	1.51	1.59	0.12
75	1.54	1.59	0.10
76	1.54	1.59	0.10
77	1.59	1.59	0.00
78	1.59	1.59	0.00
79	1.59	1.59	0.00
80	1.59	1.59	0.00
81	1.59	1.59	0.00
82	1.59	1.59	0.00
83	1.59	1.59	0.00
84	1.51	1.59	0.12
85	1.51	1.59	0.12
86	1.51	1.59	0.12
87	1.51	1.59	0.12
88	1.51	1.59	0.12
89	1.51	1.59	0.12
90	1.51	1.59	0.12
91	1.54	1.59	0.10
92	1.59	1.59	0.00
93	1.59	1.59	0.00
94	1.56	1.59	0.08
95	1.56	1.59	0.08
96	1.54	1.59	0.11
97	1.54	1.59	0.11
98	1.59	1.59	0.00
99	1.59	1.59	0.00
