Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	-1130584.42	0.00	230799.61
1	-1085011.58	0.00	259444.14
2	-981698.46	0.00	407146.08
3	-985360.36	-0.00	378100.30
4	-1097297.86	0.00	248857.81
5	-1058921.32	0.00	306466.37
6	-999700.22	0.00	373110.75
7	-947045.00	0.00	382126.19
8	-1011756.24	0.00	369354.71
9	-1012899.58	0.00	318626.83
10	-1076126.22	0.00	290630.17
11	-1009206.92	0.00	353965.61
12	-908072.72	0.00	392065.40
13	-919437.38	0.00	372527.72
14	-961861.06	0.00	359542.60
15	-998565.84	0.00	327569.70
16	-1031302.04	0.00	325730.21
17	-1083326.70	0.00	265525.39
18	-1088895.58	0.00	277378.59
19	-1095070.40	-488884.00	223863.84
20	-1037628.66	0.00	333244.01
21	-1014098.30	0.00	312569.18
22	-1072782.88	0.00	292122.94
23	-978840.16	0.00	409692.98
24	-901257.44	0.00	420684.92
25	-919743.70	0.00	389697.46
26	-1026596.60	0.00	308290.85
27	-1037286.70	0.00	335389.01
28	-1070398.28	0.00	274303.65
29	-1088832.16	0.00	277577.11
30	-1047476.44	0.00	309730.74
31	-1025074.32	0.00	339711.88
32	-1017078.38	0.00	326617.06
33	-1005674.34	0.00	354538.86
34	-917409.42	0.00	396075.42
35	-899071.18	0.00	403157.04
36	-946178.04	0.00	382728.25
37	-945504.72	0.00	402940.38
38	-932835.70	0.00	365218.40
39	-1030275.22	0.00	321580.76
40	-1077428.48	-461110.00	243410.72
41	-1072594.38	0.00	289867.78
42	-1024531.56	0.00	358812.03
43	-996635.82	0.00	373065.62
44	-1026657.32	0.00	306530.36
45	-1062844.22	0.00	317813.61
46	-1082940.00	0.00	261573.29
47	-1063631.20	0.00	317047.71
48	-1021523.26	0.00	345090.33
49	-1034791.92	0.00	337981.74
