Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	521069.00	535869.00	8231.65
1	560169.00	650869.00	59717.75
2	568669.00	650869.00	61305.46
3	592969.00	770869.00	101200.25
4	656169.00	770869.00	105069.55
5	714069.00	874869.00	110682.25
6	727469.00	874869.00	122787.78
7	805069.00	874869.00	121017.19
8	864469.00	874869.00	31200.00
9	874869.00	874869.00	0.00
10	874869.00	874869.00	0.00
11	874869.00	874869.00	0.00
12	874869.00	874869.00	0.00
13	874869.00	874869.00	0.00
14	874869.00	874869.00	0.00
15	874869.00	874869.00	0.00
16	874869.00	874869.00	0.00
17	874869.00	874869.00	0.00
18	874869.00	874869.00	0.00
19	874869.00	874869.00	0.00
20	874869.00	874869.00	0.00
21	874869.00	874869.00	0.00
22	874869.00	874869.00	0.00
23	874869.00	874869.00	0.00
24	874869.00	874869.00	0.00
25	874869.00	874869.00	0.00
26	874869.00	874869.00	0.00
27	874869.00	874869.00	0.00
28	874869.00	874869.00	0.00
29	874869.00	874869.00	0.00
30	874869.00	874869.00	0.00
31	874869.00	874869.00	0.00
32	874869.00	874869.00	0.00
33	874869.00	874869.00	0.00
34	874869.00	874869.00	0.00
35	874869.00	874869.00	0.00
36	874869.00	874869.00	0.00
37	874869.00	874869.00	0.00
38	874869.00	874869.00	0.00
39	874869.00	874869.00	0.00
40	874869.00	874869.00	0.00
41	874869.00	874869.00	0.00
42	874869.00	874869.00	0.00
43	874869.00	874869.00	0.00
44	874869.00	874869.00	0.00
45	874869.00	874869.00	0.00
46	874869.00	874869.00	0.00
47	874869.00	874869.00	0.00
48	874869.00	874869.00	0.00
49	874869.00	874869.00	0.00
50	874869.00	874869.00	0.00
51	874869.00	874869.00	0.00
52	874869.00	874869.00	0.00
53	874869.00	874869.00	0.00
54	874869.00	874869.00	0.00
55	874869.00	874869.00	0.00
56	874869.00	874869.00	0.00
57	874869.00	874869.00	0.00
58	874869.00	874869.00	0.00
59	874869.00	874869.00	0.00
60	874869.00	874869.00	0.00
61	874869.00	874869.00	0.00
62	874869.00	874869.00	0.00
63	874869.00	874869.00	0.00
64	874869.00	874869.00	0.00
65	874869.00	874869.00	0.00
66	874869.00	874869.00	0.00
67	874869.00	874869.00	0.00
68	874869.00	874869.00	0.00
69	874869.00	874869.00	0.00
70	874869.00	874869.00	0.00
71	874869.00	874869.00	0.00
72	874869.00	874869.00	0.00
73	874869.00	874869.00	0.00
74	874869.00	874869.00	0.00
75	874869.00	874869.00	0.00
76	874869.00	874869.00	0.00
77	874869.00	874869.00	0.00
78	874869.00	874869.00	0.00
79	874869.00	874869.00	0.00
80	874869.00	874869.00	0.00
81	874869.00	874869.00	0.00
82	874869.00	874869.00	0.00
83	874869.00	874869.00	0.00
84	874869.00	874869.00	0.00
85	874869.00	874869.00	0.00
86	874869.00	874869.00	0.00
87	874869.00	874869.00	0.00
88	874869.00	874869.00	0.00
89	874869.00	874869.00	0.00
90	874869.00	874869.00	0.00
91	874869.00	874869.00	0.00
92	874869.00	874869.00	0.00
93	874869.00	874869.00	0.00
94	874869.00	874869.00	0.00
95	874869.00	874869.00	0.00
96	874869.00	874869.00	0.00
97	874869.00	874869.00	0.00
98	874869.00	874869.00	0.00
99	874869.00	874869.00	0.00
