Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	1219438.00	1219438.00	0.00
1	1219438.00	1219438.00	0.00
2	1219438.00	1219438.00	0.00
3	1219438.00	1219438.00	0.00
4	1219438.00	1219438.00	0.00
5	1219438.00	1219438.00	0.00
6	1219438.00	1219438.00	0.00
7	1219438.00	1219438.00	0.00
8	1219438.00	1219438.00	0.00
9	1219438.00	1219438.00	0.00
