Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	0.50	0.70	0.08
1	0.51	0.70	0.08
2	0.52	0.78	0.08
3	0.53	0.75	0.09
4	0.54	0.78	0.08
5	0.56	0.78	0.08
6	0.57	0.82	0.08
7	0.58	0.82	0.08
8	0.59	0.88	0.08
9	0.60	0.88	0.08
10	0.61	0.90	0.08
11	0.61	0.88	0.08
12	0.62	0.88	0.08
13	0.62	0.88	0.08
14	0.64	0.88	0.07
15	0.65	0.90	0.08
16	0.66	0.88	0.08
17	0.67	0.88	0.08
18	0.67	0.88	0.08
19	0.68	0.90	0.08
20	0.69	0.90	0.08
21	0.70	0.93	0.08
22	0.72	0.90	0.08
23	0.73	0.90	0.08
24	0.74	0.93	0.07
25	0.75	0.93	0.08
26	0.76	0.93	0.07
27	0.77	0.93	0.07
28	0.78	0.97	0.07
29	0.79	0.93	0.07
30	0.79	0.93	0.07
31	0.80	0.97	0.07
32	0.80	0.97	0.07
33	0.80	0.97	0.07
34	0.80	0.95	0.07
35	0.81	0.95	0.07
36	0.81	0.95	0.07
37	0.82	0.95	0.06
38	0.82	0.97	0.06
39	0.83	0.97	0.05
40	0.83	0.97	0.06
41	0.84	0.97	0.06
42	0.84	0.97	0.05
43	0.84	0.97	0.05
44	0.85	0.97	0.05
45	0.85	0.95	0.05
46	0.85	0.97	0.05
47	0.86	0.95	0.04
48	0.85	0.95	0.05
49	0.85	0.95	0.05
50	0.85	0.95	0.05
51	0.86	0.95	0.05
52	0.86	0.97	0.05
53	0.86	0.97	0.05
54	0.86	0.97	0.05
55	0.86	0.97	0.05
56	0.87	0.97	0.05
57	0.87	0.97	0.05
58	0.88	1.00	0.05
