Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	0.50	0.70	0.08
1	0.52	0.72	0.08
2	0.53	0.72	0.07
3	0.54	0.75	0.07
4	0.55	0.78	0.08
5	0.56	0.75	0.08
6	0.57	0.75	0.07
7	0.57	0.72	0.07
8	0.58	0.78	0.07
9	0.59	0.78	0.07
10	0.60	0.78	0.07
11	0.61	0.78	0.07
12	0.62	0.78	0.07
13	0.63	0.78	0.07
14	0.63	0.78	0.07
15	0.64	0.82	0.07
16	0.64	0.80	0.07
17	0.65	0.82	0.07
18	0.66	0.82	0.07
19	0.67	0.82	0.06
20	0.67	0.80	0.06
21	0.67	0.85	0.06
22	0.68	0.82	0.06
23	0.68	0.82	0.06
24	0.69	0.82	0.06
25	0.70	0.82	0.06
26	0.70	0.82	0.06
27	0.70	0.85	0.06
28	0.71	0.88	0.06
29	0.71	0.88	0.06
30	0.71	0.85	0.06
31	0.71	0.88	0.06
32	0.71	0.88	0.06
33	0.73	0.93	0.06
34	0.73	0.90	0.07
35	0.73	0.90	0.07
36	0.74	0.90	0.07
37	0.74	0.93	0.07
38	0.75	0.90	0.07
39	0.76	0.90	0.07
40	0.77	0.93	0.07
41	0.77	0.93	0.07
42	0.77	0.93	0.07
43	0.78	0.93	0.06
44	0.79	0.95	0.06
45	0.79	0.90	0.05
46	0.79	0.90	0.05
47	0.80	0.90	0.05
48	0.80	0.93	0.05
49	0.80	0.93	0.05
50	0.80	0.93	0.05
51	0.80	0.93	0.05
52	0.81	0.93	0.05
53	0.81	0.93	0.05
54	0.81	0.93	0.05
55	0.81	0.93	0.05
56	0.81	0.95	0.05
57	0.81	0.95	0.05
58	0.82	0.95	0.05
59	0.82	0.95	0.05
60	0.82	0.95	0.05
61	0.82	0.93	0.05
62	0.83	0.95	0.05
63	0.83	0.95	0.05
64	0.84	0.95	0.05
65	0.84	0.95	0.05
66	0.85	0.95	0.04
67	0.85	0.95	0.05
68	0.86	0.95	0.04
69	0.86	0.97	0.04
70	0.86	0.97	0.04
71	0.86	0.95	0.04
72	0.87	0.95	0.04
73	0.87	0.97	0.04
74	0.87	0.97	0.04
75	0.87	1.00	0.04
