some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	0.00	51.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	942.91	167.35	5.71
2	0.00	52.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	932.58	166.79	5.60
3	0.00	53.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	934.93	167.08	5.58
4	0.00	54.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	948.27	167.61	5.63
5	0.00	55.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	937.95	167.14	5.56
6	0.00	56.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	925.58	166.20	5.46
7	0.00	57.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	921.64	165.40	5.37
8	0.00	58.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	906.26	165.04	5.29
9	0.00	59.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	896.22	165.35	5.24
10	0.00	60.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	893.01	164.86	5.27
11	0.00	61.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	889.87	164.81	5.21
12	0.00	62.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	881.47	163.98	5.13
13	0.00	63.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	877.86	167.98	5.08
14	0.00	64.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	867.86	168.40	5.05
15	0.00	65.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	865.28	168.29	5.03
16	0.00	66.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	868.41	167.87	5.05
17	0.00	67.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	867.28	167.73	5.07
18	0.00	68.00	1200.00	12000.00	60000.00	2599896.76	0.00	441.28	73.94	2.00	863.78	167.57	5.04
