some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	0.00	51.00	1200.00	12000.00	42500.00	892575.55	0.00	0.00	16.65	0.00	42.57	43.19	0.00
2	0.00	52.00	1200.00	12000.00	42500.00	892575.55	0.00	0.00	16.65	0.00	45.27	43.17	0.00
3	0.00	53.00	1200.00	12000.00	42500.00	892575.55	0.00	0.00	16.65	0.00	44.58	42.98	0.00
4	0.00	54.00	1200.00	12000.00	42500.00	796861.87	0.00	0.00	6.25	0.00	43.75	42.30	0.00
5	0.00	55.00	1200.00	12000.00	42500.00	796861.87	0.00	0.00	6.25	0.00	42.96	41.87	0.00
6	0.00	56.00	1200.00	12000.00	42500.00	796861.87	0.00	0.00	6.25	0.00	42.19	41.52	0.00
7	0.00	57.00	1200.00	12000.00	42500.00	796861.87	0.00	0.00	6.25	0.00	41.45	41.16	0.00
8	1.00	57.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	40.73	40.45	0.00
9	1.00	58.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	40.04	40.24	0.00
10	1.00	59.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	41.63	39.97	0.00
11	1.00	60.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	40.95	40.42	0.00
12	1.00	61.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	40.29	40.04	0.00
13	1.00	62.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	39.65	39.63	0.00
14	1.00	63.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	39.03	39.39	0.00
15	1.00	64.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	40.51	38.81	0.00
16	1.00	65.00	1200.00	12000.00	42500.00	736405.03	736405.03	0.00	0.00	0.00	39.90	38.43	0.00
