some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	0.00	51.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	906.66	156.42	5.39
2	0.00	52.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	894.57	155.20	5.33
3	0.00	53.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	896.26	154.92	5.32
4	0.00	54.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	881.81	154.17	5.22
5	0.00	55.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	868.31	152.75	5.15
6	0.00	56.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	857.77	151.58	5.09
7	0.00	57.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	856.00	150.06	5.09
8	0.00	58.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	848.26	149.39	5.09
9	0.00	59.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	835.86	148.67	5.00
10	0.00	60.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	837.21	148.06	4.98
11	0.00	61.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	830.54	147.54	4.95
12	0.00	62.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	821.23	146.93	4.89
13	0.00	63.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	813.96	146.25	4.87
14	0.00	64.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	810.95	146.09	4.83
15	0.00	65.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	807.98	146.24	4.78
16	0.00	66.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	803.94	146.15	4.74
17	0.00	67.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	800.95	145.46	4.72
18	0.00	68.00	1200.00	12000.00	60000.00	2210450.16	0.00	324.94	60.14	1.00	795.59	146.09	4.68
19	0.00	69.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	785.33	144.47	4.62
20	0.00	70.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	777.40	143.72	4.56
21	0.00	71.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	773.86	143.27	4.51
22	0.00	72.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	763.11	142.50	4.44
23	0.00	73.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	757.62	141.80	4.41
24	0.00	74.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	750.81	141.47	4.36
25	0.00	25.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	418.49	111.34	2.36
26	0.00	26.00	1200.00	12000.00	60000.00	1660871.22	0.00	88.14	33.78	1.00	406.56	110.35	2.31
