some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	Gap from BKS
1	1.00	50.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	20.59	0.00	0.29
2	1.00	51.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	20.23	0.00	0.29
3	1.00	52.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	20.09	0.00	0.29
4	1.00	53.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.95	0.00	0.29
5	1.00	54.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.96	0.00	0.29
6	1.00	55.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.93	0.00	0.29
7	1.00	56.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.93	0.00	0.29
8	1.00	57.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.90	0.00	0.29
9	1.00	58.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.70	0.00	0.29
10	1.00	59.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.91	0.00	0.29
11	1.00	60.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.86	0.00	0.29
12	1.00	61.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	20.00	0.00	0.29
13	1.00	62.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.89	0.00	0.29
14	1.00	63.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.84	0.00	0.29
15	1.00	64.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.77	0.00	0.29
16	1.00	65.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.59	0.00	0.29
17	2.00	65.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.30	0.00	0.29
18	2.00	66.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.20	0.00	0.29
19	2.00	67.00	850.00	12000.00	42500.00	620968.69	620968.69	0.00	0.00	0.00	0.00	19.09	0.00	0.29
