some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	0.00	51.00	1200.00	12000.00	60000.00	2476171.58	0.00	82.44	92.04	2.00	996.47	164.28	5.84
2	0.00	52.00	1200.00	12000.00	60000.00	2476171.58	0.00	82.44	92.04	2.00	988.09	164.81	5.75
3	0.00	53.00	1200.00	12000.00	60000.00	2476171.58	0.00	82.44	92.04	2.00	983.78	163.59	5.74
4	0.00	54.00	1200.00	12000.00	60000.00	2476171.58	0.00	82.44	92.04	2.00	976.43	165.35	5.67
5	0.00	55.00	1200.00	12000.00	60000.00	2476171.58	0.00	82.44	92.04	2.00	978.23	164.98	5.64
6	0.00	56.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	960.98	163.75	5.54
7	0.00	57.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	956.50	163.74	5.49
8	0.00	58.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	949.17	164.83	5.47
9	0.00	59.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	941.84	164.61	5.41
10	0.00	60.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	926.50	166.06	5.33
11	0.00	61.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	919.57	168.08	5.30
12	0.00	62.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	911.84	167.53	5.26
13	0.00	63.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	917.40	169.61	5.30
14	0.00	64.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	919.88	169.72	5.28
15	0.00	65.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	915.92	172.24	5.28
16	0.00	66.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	925.66	172.01	5.30
17	0.00	67.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	918.27	174.07	5.22
18	0.00	68.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	908.66	173.57	5.16
19	0.00	69.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	906.91	173.11	5.14
20	0.00	70.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	917.59	173.32	5.20
21	0.00	71.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	908.40	173.13	5.14
22	0.00	72.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	912.79	173.44	5.17
23	0.00	73.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	909.95	173.11	5.14
24	0.00	74.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	905.20	172.28	5.08
25	0.00	25.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	615.93	143.73	3.52
26	0.00	26.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	605.36	143.16	3.46
27	0.00	27.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	591.99	143.41	3.37
28	0.00	28.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	571.32	142.38	3.29
29	0.00	29.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	564.37	143.15	3.34
30	0.00	30.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	562.79	143.48	3.30
31	0.00	31.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	544.63	142.21	3.19
32	0.00	32.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	528.17	142.92	3.09
33	0.00	33.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	524.99	141.90	3.00
34	0.00	34.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	529.89	144.32	2.97
35	0.00	35.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	520.28	144.10	2.91
36	0.00	36.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	526.93	143.28	2.97
37	0.00	37.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	512.69	142.74	2.89
38	0.00	38.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	502.80	143.90	2.84
39	0.00	39.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	512.19	147.82	2.92
40	0.00	40.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	504.20	147.54	2.85
41	0.00	41.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	518.96	150.22	2.90
42	0.00	42.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	506.61	151.48	2.83
43	0.00	43.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	527.81	154.64	3.00
44	0.00	44.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	533.07	159.99	3.09
45	0.00	45.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	521.62	159.06	3.02
46	0.00	46.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	519.48	157.89	2.96
47	0.00	47.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	513.23	156.72	2.94
48	0.00	48.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	513.77	157.25	2.92
49	0.00	49.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	536.99	157.87	3.10
50	0.00	50.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	534.88	156.68	3.06
51	0.00	51.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	529.09	158.51	3.04
52	0.00	52.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	524.51	158.68	3.02
53	0.00	53.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	515.32	158.46	2.96
54	0.00	54.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	505.78	159.15	2.91
55	0.00	55.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	504.59	159.53	2.91
56	0.00	56.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	495.58	158.50	2.86
57	0.00	57.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	496.04	159.14	2.81
58	0.00	58.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	497.11	158.14	2.78
59	0.00	59.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	488.92	157.09	2.73
60	0.00	60.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	480.97	156.33	2.68
61	0.00	61.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	480.30	155.97	2.69
62	0.00	62.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	476.19	156.93	2.68
63	0.00	63.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	475.87	157.10	2.68
64	0.00	64.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	471.69	157.18	2.67
65	0.00	65.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	469.87	158.41	2.66
66	0.00	66.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	474.82	159.25	2.68
67	0.00	67.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	475.05	159.97	2.73
68	0.00	68.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	469.27	163.52	2.69
69	0.00	69.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	462.47	165.95	2.65
70	0.00	70.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	462.35	165.70	2.66
71	0.00	71.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	462.43	167.10	2.68
72	0.00	72.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	460.32	169.38	2.65
73	0.00	73.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	461.92	173.70	2.66
74	0.00	74.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	455.83	172.73	2.62
75	0.00	25.00	1200.00	12000.00	60000.00	2258375.22	0.00	11.76	96.21	0.00	298.62	127.18	1.52
76	0.00	26.00	1200.00	12000.00	60000.00	2012015.50	0.00	0.00	77.26	0.00	287.14	125.26	1.46
77	0.00	27.00	1200.00	12000.00	60000.00	2012015.50	0.00	0.00	77.26	0.00	276.50	124.10	1.41
78	0.00	28.00	1200.00	12000.00	60000.00	2012015.50	0.00	0.00	77.26	0.00	266.63	125.59	1.36
79	0.00	29.00	1200.00	12000.00	60000.00	2012015.50	0.00	0.00	77.26	0.00	257.43	124.76	1.31
