some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	4.00	47.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.96	0.00
2	4.00	48.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.90	0.00
3	4.00	49.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.74	0.00
4	4.00	50.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.56	0.00
5	4.00	51.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.53	0.00
6	4.00	52.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.64	0.00
7	5.00	52.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.35	0.00
8	5.00	53.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.23	0.00
9	5.00	54.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.15	0.00
10	5.00	55.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	16.05	0.00
11	5.00	56.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.97	0.00
12	5.00	57.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.76	0.00
13	5.00	58.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.56	0.00
14	5.00	59.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.67	0.00
15	5.00	60.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.73	0.00
16	5.00	61.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.71	0.00
17	5.00	62.00	850.00	12000.00	42500.00	544617.10	544617.10	0.00	0.00	0.00	0.00	15.58	0.00
