Skip number of rows: 48
Time used: 70,92 seconds

Problem instance parameters: 
Problem size = 9
Time windows = false
Maximum duration = 3
Best known sailing cost = 615212
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 589000
Maximum number of installations = 8
Dataset sheet = 1
Minimum duration = 2

Heuristic parameters: 
Number of installations violation penalty = 50000
Fitness evaluation protocol = standard
Initial population heuristic = standard
Reference proportion of feasible individuals = 0,2
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 2000
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 50
Granularity threshold in RI = 0,4
Max iterations = 5000
Duration constraint violation penalty = 10000
Repair rate = 0,5

Number of iterations: 5000
Diversifaction happened at iterations: [2076, 4076]
Number of crossover restarts: 1198
Number of construction heuristic restarts: 273

No feasible solution!
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	Gap from BKS	avg visits pr voyage
32	0.00	32.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	5.13	39.93	0.00	0.00	6.00
33	0.00	33.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.98	39.50	0.00	0.00	6.00
34	0.00	34.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.83	39.69	0.00	0.00	6.00
35	0.00	35.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.69	39.40	0.00	0.00	6.00
36	0.00	36.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.85	38.95	0.00	0.00	6.00
37	0.00	37.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.72	38.60	0.00	0.00	6.00
38	0.00	38.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.60	38.89	0.00	0.00	6.00
39	0.00	39.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.48	38.66	0.00	0.00	6.00
40	0.00	40.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.37	38.94	0.00	0.00	6.00
41	0.00	41.00	1200.00	12000.00	42500.00	921402.21	0.00	0.00	22.89	0.00	4.26	38.74	0.00	0.00	6.00
